"","Long","Lat","Snake_ID","Snake_Name","Time","Year","Location","UTM_E","UTM_N","Observers","Status","Snake_Sex","Habitat_Category","HabitatCategory2","HabitatComplexity","Percent_H20","Overstory","Understory","Behavior","Other_Behavior","Percent_Hidden","Snake_Temp","Substrate_Temp_Shade","Substrate_Temp_Sun","Water_Temp","Burrow_Type","Condition","Position","Skin","Survey_Time","Associated_Snakes","External_Marks","Comments","Designation","GlobalID","Season","Sector_1","Sector_2","Longitude","Latitude","GlobalID_2","Mo","Date","timestamp"
"35",-81.6678689956616,26.0013272180112,"PYBI_05","Paula","1200",2013,"P",433161.3504,2876001.079,"PTA, JN, SB, DB","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"867b9406-2588-44cd-9936-2653c17445b9",NA,NA,NA,-81.66786588,26.00132251,"{F1BC651B-F593-4372-A1AC-CA26C371328A}",4,2013-04-11,"2013-04-11 1200"
"36",-81.6726228574731,26.003414570568,"PYBI_04","General","1830",2013,"T",432686.7701,2876234.69,"PTA","inactive","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e1c37553-a2c3-41e8-87a6-b44e1f509e21","Breeding","S","E",-81.67261974,26.00340986,"{BC63956D-5C2F-4F3E-84A4-1D2CDA25810B}",4,2013-04-12,"2013-04-12 1830"
"37",-81.6657515652708,26.0013545885323,"PYBI_03","Noosa","1200",2013,"V",433373.2798,2876003.029,"PTA","inactive","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,NA,NA,"captured Noosa (unknown) and release at Burrow #3",NA,"f109b644-9359-4625-b5a6-7abc31336b23",NA,NA,NA,-81.66574845,26.00134988,"{CB168873-3EBB-49A0-A811-0C25B6163E7E}",4,2013-04-14,"2013-04-14 1200"
"38",-81.6638286744132,26.0007793192998,"PYBI_05","Paula","1200",2013,"V",433565.4004,2875938.34,"PTA","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"resting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"took photo, on snake",NA,"c757bedb-dafd-4c45-97e3-be3225ee6c85",NA,NA,NA,-81.66382556,26.00077461,"{56E09494-8561-4A35-9A93-37A9D4A878AC}",4,2013-04-14,"2013-04-14 1200"
"39",-81.6640812250084,26.0005565762532,"PYBI_05","Paula","1200",2013,"V",433539.9995,2875913.8,"IB","inactive","Female","disturbed","mangrove swamp",NA,NA,"red mangrove","sawgrass",NA,NA,NA,NA,NA,NA,NA,NA,"healthy","coiled","normal",NA,"0",NA,"took photo",NA,"0b22e1e2-1ba3-429d-aca5-6726c8c0c6ba",NA,NA,NA,-81.66407811,26.00055186,"{F62A9178-611E-4AD8-A149-298C0266C8A9}",4,2013-04-19,"2013-04-19 1200"
"40",-81.672486006906,26.0036142978835,"PYBI_04","General","1830",2013,"V",432700.5798,2876256.739,NA,"inactive","Male","mangrove swamp",NA,NA,NA,"brazilian pepper, mangrove","fern","resting",NA,NA,NA,NA,NA,NA,NA,"healthy",NA,"shedding",NA,"0",NA,"took photo",NA,"4e5ec8de-ab9e-494c-8f8e-3cfe4f77ef93","Feeding","S","E",-81.67248289,26.00360959,"{322AF31A-04F1-418D-8D2C-55FCC3507DD7}",4,2013-04-19,"2013-04-19 1830"
"41",-81.6640255441008,26.000605591146,"PYBI_05","Paula","1200",2013,"P",433545.5997,2875919.2,NA,"inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"signal very strong at first and then faded; submerged?",NA,"bd59032a-5321-4dbe-9b3d-89bd0643c819",NA,NA,NA,-81.66402243,26.00060088,"{3A70A542-2831-4312-84F0-17748AB8B2AA}",4,2013-04-26,"2013-04-26 1200"
"42",-81.6723880667984,26.0035589601892,"PYBI_04","General","1500",2013,"T",432710.35,2876250.56,"IB","inactive","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004bb5f-39b2-433e-9df6-46a4deb7fbfc","Feeding","S","E",-81.67238495,26.00355425,"{15117922-B50E-4AAA-986B-AE3EED797B06}",4,2013-04-26,"2013-04-26 1500"
"43",-81.6623663047261,26.0136459815003,"PYBI_02","Sweet Pea","1900",2013,"P",433718.9796,2877362.559,NA,"inactive","Female","urban / anthro","lake / resevoire",1,NA,NA,"reeds","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"signal from reeds",NA,"e570b0ba-b843-4e5e-94e0-834be75e0e7f",NA,NA,NA,-81.66236319,26.01364127,"{A5C44461-B05D-4053-A1A5-26D1B8255EDA}",4,2013-04-26,"2013-04-26 1900"
"44",-81.6657133955814,26.0013545023853,"PYBI_03","Noosa","1200",2013,"E",433377.0998,2876003,"PTA,IB","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"resting",NA,100,"36.7",NA,NA,NA,"DILLO","gravid",NA,"normal",NA,"0",NA,"2nd capture Noosa burrow; 37.8 (body), 35.6 (head)",NA,"bc78e8b3-d50e-4a65-91c6-8c664c877933","Nesting",NA,NA,-81.66571028,26.00134979,"{3A1ABAE7-75A3-44CF-939A-33B4364F2C5F}",5,2013-05-03,"2013-05-03 1200"
