"Snake_ID","Snake_Name","Date","Time","Year","Location","UTM_E","UTM_N","Observers","Status","Snake_Sex","Habitat_Category","HabitatCategory2","HabitatComplexity","Percent_H20","Overstory","Understory","Behavior","Other_Behavior","Percent_Hidden","Snake_Temp","Substrate_Temp_Shade","Substrate_Temp_Sun","Water_Temp","Burrow_Type","Condition","Position","Skin","Survey_Time","Associated_Snakes","External_Marks","Comments","Designation","GlobalID","Season","Sector.1","Sector.2","Longitude","Latitude"
"PYBI_40","Bowie","2/5/2018",1549,2018,"P",434537.999887243,2877329.00013741,"IB, IE, MH","inactive","male","agricultural retention",NA,1,NA,NA,"para, debris","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"ed5e8235-f301-4c16-babb-b9cd10112e37","Breeding",NA,"E",-81.65417726,26.01337552
"PYBI_01","Elvis","2/5/2018",1910,2018,"M",433609.999718002,2875555.00023308,"IB, IE, MH","inactive","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seems to have gone back into mangrove area",NA,"4ac649a1-cec3-456e-a4c1-0ac0a622c8ed","Breeding","S","E",-81.6633605,25.99731538
"PYBI_22","Grendel","2/5/2018",1955,2018,"V",429237.999791888,2877442.00017909,"IB, IE, MH","inactive","male","mangrove swamp",NA,NA,NA,"mangroves","leather fern","resting",NA,80,NA,NA,NA,NA,NA,"healthy","coiled","normal",NA,1,NA,"led to capture of BP01; went into water when we grabbed female",NA,"5e4ed4d3-3ac0-4e0d-aa7c-6d9aeb9c6068","Breeding","S","W",-81.70714443,26.01414647
"PYBI_43","Jimi","2/5/2018",1710,2018,"P",435439.00031302,2880909.00012422,"IB, IE, MH","inactive","male","disturbed",NA,1,NA,NA,"concrete rubble, vines","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"4f60503c-7765-478c-8eee-7d66d4d64dd2","Breeding","N","E",-81.64535064,26.04574069
"PYBI_21","Johnny","2/5/2018",1734,2018,"V",435483.999687878,2880658.99999175,"IB, IE, MH","inactive","male","agricultural levee",NA,1,NA,"brazilian pepper","para ","resting",NA,90,NA,NA,NA,NA,NA,"healthy","coiled","normal",NA,0,NA,"coiled under para, slithered away at disturbance",NA,"3c5a8a0a-b0f0-4fb5-9bd8-5934d48c2355","Breeding","N","E",-81.6448885,26.04348539
"PYBI_13","Kirkland","2/5/2018",2030,2018,"B",428457.00014129,2877721.99980534,"IB, IE, MH","active","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6632f628-48c9-4e9a-80d1-33795f8dc6f4","Breeding","S","W",-81.71496401,26.01663624
"PYBI_39","Mick","2/5/2018",1524,2018,"V",434301.999558682,2876703.00038279,"IB, IE, MH","inactive","male","disturbed",NA,NA,NA,"brazilian pepper","spartina, fern","basking",NA,20,29.38,NA,30.1,NA,NA,"healthy",NA,"normal",NA,0,NA,NA,NA,"6a81aeb3-df79-4dad-b509-cd62cc6e8e1d","Breeding","S","E",-81.65650411,26.00771252
"PYBI_41","Stanley","2/5/2018",1717,2018,"P",436753.000383932,2880099.9996024,"IB, IE, MH","inactive","male","agricultural levee",NA,1,NA,NA,"para","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"same spot",NA,"fb9804ad-2df8-4fb7-b4e9-bd149f52aaac","Breeding","N","E",-81.63217739,26.0384941
"PYBI_30","Tresa","2/5/2018",1829,2018,"V",436284.999587764,2880004.99989343,"IB, IE, MH","inactive","female","agricultural retention",NA,2,NA,"brazilian pepper, earleaf acacia","debris","resting",NA,98,29.5,25.66,29.8,NA,NA,"healthy","coiled","normal",NA,0,NA,NA,NA,"d0e7a8f0-84a5-45d2-8759-7238f6bcb4d2",NA,NA,NA,-81.63685037,26.03761578
"PYBI_37","Zeppelin","2/5/2018",1824,2018,"M",428646.000372735,2877085.00028912,"IB, IE, MH","inactive","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88f237a9-5213-4aeb-b639-7f301b6597b8","Breeding","S","W",-81.71304061,26.01089401
